domain_seed,condition,campaign,auc,batches_to_90,final_hv
44,gen6_child0_beta3,18,-0.563441117259031,2,11.375730273503414
44,gen6_child0_beta3,19,-1.334630049911184,0,11.547768025588473
44,hint_fixed_ucb,0,-0.7542563981125332,0,11.327217340531456
44,hint_fixed_ucb,1,-0.43787450145755197,1,11.380663491372266
44,hint_fixed_ucb,2,-0.9180027882453138,0,11.421834634738268
44,hint_fixed_ucb,3,-0.5472620147087958,1,11.277969757732851
44,hint_fixed_ucb,4,-0.7809689665942232,0,11.38086727773163
44,hint_fixed_ucb,5,-0.7622104855996271,1,11.484372757818935
44,hint_fixed_ucb,6,-0.5119392040054415,2,11.345942900322523
44,hint_fixed_ucb,7,-0.5211952667901029,0,11.177652188177712
44,hint_fixed_ucb,8,-0.6993564635305357,0,11.403854801508055
44,hint_fixed_ucb,9,-0.8930401261093943,0,11.450728050377649
44,hint_fixed_ucb,10,-0.22902842704390997,1,11.089728884289471
44,hint_fixed_ucb,11,-0.1738283676478705,1,11.105051136642079
44,hint_fixed_ucb,12,-0.41481181671184136,1,11.23314282757331
44,hint_fixed_ucb,13,-1.442258378845212,0,11.581562914289888
44,hint_fixed_ucb,14,-0.4620880814755632,0,11.17318436881292
44,hint_fixed_ucb,15,-0.7965906598999426,0,11.454703788945428
44,hint_fixed_ucb,16,-0.48239897279386756,1,11.246496707818102
44,hint_fixed_ucb,17,0.7842369300883691,6,9.558555712816089
44,hint_fixed_ucb,18,-0.5774200349867726,1,11.356806121431733
44,hint_fixed_ucb,19,-1.1352300537936795,0,11.494665328761286
44,phase_decaying_ucb,0,-0.4778828969934872,0,11.287890245787995
44,phase_decaying_ucb,1,-0.3703551132496004,1,11.309618745243679
44,phase_decaying_ucb,2,-0.8094901038078601,0,11.379949710549386
44,phase_decaying_ucb,3,-0.5427515825132531,1,11.320298848853152
44,phase_decaying_ucb,4,-0.583655445317149,0,11.200012035265601
44,phase_decaying_ucb,5,-0.14695984003563942,1,10.961535350058945
44,phase_decaying_ucb,6,-0.35587188746241655,2,11.356346604519793
44,phase_decaying_ucb,7,-0.5525015606709557,0,11.185564314857874
44,phase_decaying_ucb,8,-0.44926607962713777,0,11.185341649368693
44,phase_decaying_ucb,9,-0.9845826601285259,0,11.440496458322226
44,phase_decaying_ucb,10,-0.16695225211259063,1,11.00562713800309
44,phase_decaying_ucb,11,0.05742654687014475,2,10.848500626029054
44,phase_decaying_ucb,12,-0.8374423085167054,1,11.472053871475845
44,phase_decaying_ucb,13,-1.1777029624501767,0,11.50344523072962
44,phase_decaying_ucb,14,-0.4389469484031761,0,11.113004683639979
44,phase_decaying_ucb,15,-0.7557724431539269,0,11.407626453790995
44,phase_decaying_ucb,16,-0.4355778580051007,1,11.18023246680607
44,phase_decaying_ucb,17,0.7808947167658785,6,9.566409651005449
44,phase_decaying_ucb,18,-0.6138833469249043,2,11.407134120752948
44,phase_decaying_ucb,19,-1.1208695561124813,0,11.464023556430917
45,gen6_child0_beta1,0,-0.6962100459101472,0,13.5786279961322
45,gen6_child0_beta1,1,-0.6021524249470241,0,13.492037377829936
45,gen6_child0_beta1,2,-0.7132008535293155,0,13.561687366027359
45,gen6_child0_beta1,3,0.15460938095486748,1,13.059476633589682
45,gen6_child0_beta1,4,-0.6147010700373894,2,13.67608830256447
45,gen6_child0_beta1,5,0.5325889005002535,6,12.308257711681103
45,gen6_child0_beta1,6,0.13749735192418455,1,12.979107999846534
45,gen6_child0_beta1,7,-0.6089597353668336,1,13.687092906205448
45,gen6_child0_beta1,8,-1.6943454068062087,0,13.873276789959071
45,gen6_child0_beta1,9,-0.5531897138627082,2,13.787942524296517
45,gen6_child0_beta1,10,-0.3618373227828326,0,13.333908159416499
45,gen6_child0_beta1,11,0.35340396070759167,5,12.722020003226746
45,gen6_child0_beta1,12,-0.7056880648959735,0,13.567899576750538
45,gen6_child0_beta1,13,-2.1653418332994145,0,13.867120884486246
45,gen6_child0_beta1,14,0.019027448522262385,0,13.103536488117522
45,gen6_child0_beta1,15,-0.12496074389104131,0,13.11873732487857
45,gen6_child0_beta1,16,-0.008617085939637155,2,13.551759370046256
45,gen6_child0_beta1,17,-0.6244237985420236,0,13.79188726090821
45,gen6_child0_beta1,18,-1.8638970064618465,0,13.892591573176109
45,gen6_child0_beta1,19,0.022660886100004697,0,13.007597174617567
45,gen6_child0_beta2,0,-0.7016706524362571,0,13.587581966968305
45,gen6_child0_beta2,1,-0.968109606767644,0,13.711803149800918
45,gen6_child0_beta2,2,-1.1261442485079363,0,13.740079985598062
45,gen6_child0_beta2,3,0.15427658459962154,1,13.0754877914663
45,gen6_child0_beta2,4,0.4947183801466415,6,12.426714270073663
45,gen6_child0_beta2,5,0.5170808985909966,6,12.33087751453028
45,gen6_child0_beta2,6,0.10802229041927554,1,13.038640347174557
45,gen6_child0_beta2,7,-1.0945912583563884,1,13.777102954187567
45,gen6_child0_beta2,8,-1.8466231457487925,0,13.847959748526828
45,gen6_child0_beta2,9,-0.4743970968450003,1,13.61272471327755
45,gen6_child0_beta2,10,-4.20557682541093,0,13.990426831375535
45,gen6_child0_beta2,11,-0.18859988750245174,1,13.407885890116814
45,gen6_child0_beta2,12,-0.7956424900910849,0,13.608931061348185
45,gen6_child0_beta2,13,-2.175061371066049,0,13.871959063077128
45,gen6_child0_beta2,14,-0.04585135922422521,0,13.137906432003918
45,gen6_child0_beta2,15,-0.1369670056455288,0,13.170352496205096
